tk,pt
650,3.00E-01
650,1.00E+00
650,3.00E+00
650,1.00E+01
650,3.00E+01
650,1.00E+02
650,3.00E+02
650,1.00E+03
650,3.00E+03
700,1.00E-06
700,3.00E-06
700,1.00E-05
700,3.00E-05
700,1.00E-04
700,3.00E-04
700,1.00E-03
700,3.00E-03
700,1.00E-02
700,3.00E-02
700,1.00E-01
700,3.00E-01
700,1.00E+00
700,3.00E+00
700,1.00E+01
700,3.00E+01
700,1.00E+02
700,3.00E+02
700,1.00E+03
700,3.00E+03
725,1.00E-06
725,3.00E-06
725,1.00E-05
725,3.00E-05
725,1.00E-04
725,3.00E-04
725,1.00E-03
725,3.00E-03
725,1.00E-02
725,3.00E-02
725,1.00E-01
725,3.00E-01
725,1.00E+00
725,3.00E+00
725,1.00E+01
725,3.00E+01
725,1.00E+02
725,3.00E+02
725,1.00E+03
725,3.00E+03
750,1.00E-06
750,3.00E-06
750,1.00E-05
750,3.00E-05
750,1.00E-04
750,3.00E-04
750,1.00E-03
750,3.00E-03
750,1.00E-02
750,3.00E-02
750,1.00E-01
750,3.00E-01
750,1.00E+00
750,3.00E+00
750,1.00E+01
750,3.00E+01
750,1.00E+02
750,3.00E+02
750,1.00E+03
750,3.00E+03
800,1.00E-06
800,3.00E-06
800,1.00E-05
800,3.00E-05
800,1.00E-04
800,3.00E-04
800,1.00E-03
800,3.00E-03
800,1.00E-02
800,3.00E-02
800,1.00E-01
800,3.00E-01
800,1.00E+00
800,3.00E+00
800,1.00E+01
800,3.00E+01
800,1.00E+02
800,3.00E+02
800,1.00E+03
800,3.00E+03
850,1.00E-06
850,3.00E-06
850,1.00E-05
850,3.00E-05
850,1.00E-04
850,3.00E-04
850,1.00E-03
850,3.00E-03
850,1.00E-02
850,3.00E-02
850,1.00E-01
850,3.00E-01
850,1.00E+00
850,3.00E+00
850,1.00E+01
850,3.00E+01
850,1.00E+02
850,3.00E+02
850,1.00E+03
850,3.00E+03
900,1.00E-06
900,3.00E-06
900,1.00E-05
900,3.00E-05
900,1.00E-04
900,3.00E-04
900,1.00E-03
900,3.00E-03
900,1.00E-02
900,3.00E-02
900,1.00E-01
900,3.00E-01
900,1.00E+00
900,3.00E+00
900,1.00E+01
900,3.00E+01
900,1.00E+02
900,3.00E+02
900,1.00E+03
900,3.00E+03
950,1.00E-06
950,3.00E-06
950,1.00E-05
950,3.00E-05
950,1.00E-04
950,3.00E-04
950,1.00E-03
950,3.00E-03
950,1.00E-02
950,3.00E-02
950,1.00E-01
950,3.00E-01
950,1.00E+00
950,3.00E+00
950,1.00E+01
950,3.00E+01
950,1.00E+02
950,3.00E+02
950,1.00E+03
950,3.00E+03
1000,1.00E-06
1000,3.00E-06
1000,1.00E-05
1000,3.00E-05
1000,1.00E-04
1000,3.00E-04
1000,1.00E-03
1000,3.00E-03
1000,1.00E-02
1000,3.00E-02
1000,1.00E-01
1000,3.00E-01
1000,1.00E+00
1000,3.00E+00
1000,1.00E+01
1000,3.00E+01
1000,1.00E+02
1000,3.00E+02
1000,1.00E+03
1000,3.00E+03
1100,1.00E-06
1100,3.00E-06
1100,1.00E-05
1100,3.00E-05
1100,1.00E-04
1100,3.00E-04
1100,1.00E-03
1100,3.00E-03
1100,1.00E-02
1100,3.00E-02
1100,1.00E-01
1100,3.00E-01
1100,1.00E+00
1100,3.00E+00
1100,1.00E+01
1100,3.00E+01
1100,1.00E+02
1100,3.00E+02
1100,1.00E+03
1100,3.00E+03
1200,1.00E-06
1200,3.00E-06
1200,1.00E-05
1200,3.00E-05
1200,1.00E-04
1200,3.00E-04
1200,1.00E-03
1200,3.00E-03
1200,1.00E-02
1200,3.00E-02
1200,1.00E-01
1200,3.00E-01
1200,1.00E+00
1200,3.00E+00
1200,1.00E+01
1200,3.00E+01
1200,1.00E+02
1200,3.00E+02
1200,1.00E+03
1200,3.00E+03
1300,1.00E-06
1300,3.00E-06
1300,1.00E-05
1300,3.00E-05
1300,1.00E-04
1300,3.00E-04
1300,1.00E-03
1300,3.00E-03
1300,1.00E-02
1300,3.00E-02
1300,1.00E-01
1300,3.00E-01
1300,1.00E+00
1300,3.00E+00
1300,1.00E+01
1300,3.00E+01
1300,1.00E+02
1300,3.00E+02
1300,1.00E+03
1300,3.00E+03
1400,1.00E-06
1400,3.00E-06
1400,1.00E-05
1400,3.00E-05
1400,1.00E-04
1400,3.00E-04
1400,1.00E-03
1400,3.00E-03
1400,1.00E-02
1400,3.00E-02
1400,1.00E-01
1400,3.00E-01
1400,1.00E+00
1400,3.00E+00
1400,1.00E+01
1400,3.00E+01
1400,1.00E+02
1400,3.00E+02
1400,1.00E+03
1400,3.00E+03
1500,1.00E-06
1500,3.00E-06
1500,1.00E-05
1500,3.00E-05
1500,1.00E-04
1500,3.00E-04
1500,1.00E-03
1500,3.00E-03
1500,1.00E-02
1500,3.00E-02
1500,1.00E-01
1500,3.00E-01
1500,1.00E+00
1500,3.00E+00
1500,1.00E+01
1500,3.00E+01
1500,1.00E+02
1500,3.00E+02
1500,1.00E+03
1500,3.00E+03
1600,1.00E-06
1600,3.00E-06
1600,1.00E-05
1600,3.00E-05
1600,1.00E-04
1600,3.00E-04
1600,1.00E-03
1600,3.00E-03
1600,1.00E-02
1600,3.00E-02
1600,1.00E-01
1600,3.00E-01
1600,1.00E+00
1600,3.00E+00
1600,1.00E+01
1600,3.00E+01
1600,1.00E+02
1600,3.00E+02
1600,1.00E+03
1600,3.00E+03
1700,1.00E-06
1700,3.00E-06
1700,1.00E-05
1700,3.00E-05
1700,1.00E-04
1700,3.00E-04
1700,1.00E-03
1700,3.00E-03
1700,1.00E-02
1700,3.00E-02
1700,1.00E-01
1700,3.00E-01
1700,1.00E+00
1700,3.00E+00
1700,1.00E+01
1700,3.00E+01
1700,1.00E+02
1700,3.00E+02
1700,1.00E+03
1700,3.00E+03
1800,1.00E-06
1800,3.00E-06
1800,1.00E-05
1800,3.00E-05
1800,1.00E-04
1800,3.00E-04
1800,1.00E-03
1800,3.00E-03
1800,1.00E-02
1800,3.00E-02
